Type,Qty,Value,Exclude from BOM,Exclude from Board,Footprint,Price (with tax), links
Microcontroller,1,RaspberryPi_Pico,FALSE,FALSE,Module:RaspberryPi_Pico_Common_Unspecified,$4, self-sourced
Diode,79,Diode 14B,FALSE,FALSE,Diode_SMD:D_SOD-123,$15, https://www.amazon.com/gp/product/B089KD46P6/ref=ox_sc_act_title_8?smid=A1K2H0ANPH97NN&psc=1
Led,78,WS2812B,FALSE,FALSE,PCM_marbastlib-various:SK6812 Mini-E Leds,$6, self-sourced
Rotary Encoder,1,EC11 Rotary Encoder,FALSE,FALSE,Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,$3, self sourced
Switch,78,Gateroen banana low profile,FALSE,FALSE,PCM_marbastlib-xp-gateron_lp:SW_KS33_HS_KS-2P02B01-02_HS_1u,$35, self sourced
Screen,1,1.47in TFT screen,TRUE,FALSE,PCM_marbastlib-various:1.47IN TFT_SCREEN, 7, self sourced
Level Converter,1,3.3V 5V Level Shifter,FALSE,FALSE,PCM_marbastlib-various:level_shifter,7, self sourced
3D printed parts (plate+case),1,PLA filament 500g,TRUE,FALSE,None, self sourced
Key Caps,78,Key Cap set,TRUE,TRUE,13, https://www.amazon.com/GMKWTL-Keyboard-Compatiability-Mechanical-Keyboard/dp/B0DHZSBBGN/ref=sr_1_10?crid=Q8QKCUUYPY36&dib=eyJ2IjoiMSJ9.fwrs3L7kzoYC9Lyi1R3ookXQWckNlki_qPy9XYsRL8eoixaPVOBcJbsZt-iwJnTJds7WBFu0eCcz7btfrjkPINBELr45fnBbDHA4z57k4MjwkxalkegLYI5fEKua1gpFN4hqXenK0UHtjBB1nRiui-55GRccuGOSDW5j42Px5hd2BBhLpY2dmSPZnt28AmRuuPHAs3Wn1phLvo0gcR4tVQwwtv983OjqboYfD7py36w.qD3godhpSDs_aP7pM0q0AIdArKnzhV_a1bjScBHYfi8&dib_tag=se&keywords=keycaps%2Blow%2Bprofile&qid=1775969569&sprefix=keycaps%2Blow%2Bprofi%2Caps%2C273&sr=8-10&th=1
Hot Swap pieces,78,Pieces to enable hotswapping,FALSE,FALSE,None,$13, https://www.amazon.com/DUROCK-Mechanical-Keyboard-Switches-Hot-Swap/dp/B0B4W9YMGM/ref=sr_1_2?crid=35CHQWRUJA015&dib=eyJ2IjoiMSJ9.JKoXkJJJrIVA4JnSSkGnStBHXR4IGGxla1AKDvP5V3XXNLep92NdhsBql2ii68qiNB_c7g-ZFRZQXi7_jpkLV9qVnHxPqgLZuBjQyTdpZ7GRyz4oyQSZOJoVgddlCynht3oA2-7a3M9IHi13k7zsOeL7wTkQXblP_iKm-qXsR8phlb-2kgSF3aj1uBRLhr7IE7VCK2ORV3m670alLx6cIYPoHnYoNUGfPmrVBh7ICmw.oYdHgUtbILh2GUhhMcQZcBHLQ_plr3crWkFkTJia-B8&dib_tag=se&keywords=hotswap&qid=1775969494&sprefix=hotswa%2Caps%2C238&sr=8-2

PCB Board,1,Pcb from JLCPCB,FALSE,FALSE,,$35, https://jlcpcb.com/
